Date,CDA01_MAT,CDA01_FIT,CDA01_IOT,CDA01_OMT,CDA01_IMT,CDA01_IAT,CDA01_IVT,CDA01_SPT,CDA01_LVT,CDA01_HVT,CDA02_MAT,CDA02_FIT,CDA02_IOT,CDA02_OMT,CDA02_IMT,CDA02_IAT,CDA02_IVT,CDA02_SPT,CDA02_LVT,CDA02_HVT,CDA03_MAT,CDA03_FIT,CDA03_IOT,CDA03_OMT,CDA03_IMT,CDA03_IAT,CDA03_IVT,CDA03_SPT,CDA03_LVT,CDA03_HVT,CDA04_MAT,CDA04_FIT,CDA04_IOT,CDA04_OMT,CDA04_IMT,CDA04_IAT,CDA04_IVT,CDA04_SPT,CDA04_LVT,CDA04_HVT,CDA05_MAT,CDA05_SPT,CDA05_FIT,CDA05_IAT,CDA05_SMT1,CDA05_SMT2,CDA05_SMT3,CDA05_IOT,CDA05_OMT,CDA05_IMT,CDA05_LVT_1,CDA05_LVT_2,CDA05_HVT,CDA06_MAT,CDA06_SPT,CDA06_FIT,CDA06_IAT,CDA06_SMT1,CDA06_SMT2,CDA06_SMT3,CDA06_IOT,CDA06_OMT,CDA06_IMT,CDA06_LVT_1,CDA06_LVT_2,CDA06_HVT,CDA07_MAT,CDA07_SPT,CDA07_FIT,CDA07_IAT,CDA07_SMT1,CDA07_SMT2,CDA07_SMT3,CDA07_IOT,CDA07_OMT,CDA07_IMT,CDA07_LVT_1,CDA07_LVT_2,CDA07_HVT,CDA10_MAT,CDA10_SMT,CDA10_OMT,CDA10_IMT,CDA10_IOT,CDA10_OPT,CDA10_FIT,CDA10_LVT,CDA10_HVT,CDA11_MAT,CDA11_SMT,CDA11_OMT,CDA11_IMT,CDA11_IOT,CDA11_HVT,CDA11_LVT,CDA12_MAT,CDA12_SMT,CDA12_OMT,CDA12_IMT,CDA12_IOT,CDA12_ACT,CDA12_LVT,CDA13_MAT,CDA13_SMT,CDA13_OMT,CDA13_IMT,CDA13_IOT,CDA13_ACT,CDA13_LVT,CDA14_MAT,CDA14_SMT,CDA14_OMT,CDA14_IMT,CDA14_IOT,CDA14_ACT,CDA14_LVT,CDA15_MAT,CDA15_SMT,CDA15_OMT,CDA15_IMT,CDA15_IOT,CDA15_OPT,CDA15_FIT,CDA15_LVT,CDA15_HVT
2020/10/1 00:00,55.07,-0.26,-0.33,0.02,0.02,53.6,44.78,55.07,59.06,0.92,55.07,0.04,100,2.54,38.79,7.96,32.28,0,-0.26,-0.33,55.07,0.02,53.6,44.78,55.07,59.06,0.92,86.78,0.04,100,55.07,38.79,7.96,32.28,0,-0.26,-0.33,0.02,0.02,53.6,55.07,55.07,59.06,0.92,86.78,0.04,100,2.54,38.79,7.96,32.28,0,-0.26,55.07,0.02,0.02,53.6,44.78,55.07,59.06,0.92,86.78,0.04,100,2.54,38.79,55.07,32.28,0,-0.26,-0.33,0.02,0.02,53.6,44.78,55.07,59.06,0.92,86.78,55.07,100,2.54,38.79,7.96,32.28,0,-0.26,-0.33,55.07,0.02,53.6,44.78,55.07,59.06,0.92,55.07,0.04,100,2.54,38.79,7.96,32.28,55.07,-0.26,-0.33,0.02,0.02,53.6,44.78,55.07,59.06,0.92,86.78,0.04,100,2.54,55.07,7.96,32.28,0,-0.26,-0.33,0.02,0.02,53.6
2020/10/1 00:01,55.07,-0.26,-0.33,0.02,0.02,53.6,44.78,55.07,59.06,0.92,55.07,0.04,100,2.54,38.79,7.96,32.28,0,-0.26,-0.33,55.07,0.02,53.6,44.78,55.07,59.06,0.92,86.68,0.04,100,55.07,38.79,7.96,32.28,0,-0.26,-0.33,0.02,0.02,53.6,55.07,55.07,59.06,0.92,86.68,0.04,100,2.54,38.79,7.96,32.28,0,-0.26,55.07,0.02,0.02,53.6,44.78,55.07,59.06,0.92,86.68,0.04,100,2.54,38.79,55.07,32.28,0,-0.26,-0.33,0.02,0.02,53.6,44.78,55.07,59.06,0.92,86.68,55.07,100,2.54,38.79,7.96,32.28,0,-0.26,-0.33,55.07,0.02,53.6,44.78,55.07,59.06,0.92,55.07,0.04,100,2.54,38.79,7.96,32.28,55.07,-0.26,-0.33,0.02,0.02,53.6,44.78,55.07,59.06,0.92,86.68,0.04,100,2.54,55.07,7.96,32.28,0,-0.26,-0.33,0.02,0.02,53.6
2020/10/1 00:02,55.07,-0.26,-0.33,0.02,0.02,53.28,44.78,55.07,59.06,0.68,55.07,0.04,100,2.54,38.79,7.96,32.28,0,-0.26,-0.33,55.07,0.02,53.28,44.78,55.07,59.06,0.68,86.57,0.04,100,55.07,38.79,7.96,32.28,0,-0.26,-0.33,0.02,0.02,53.28,55.07,55.07,59.06,0.68,86.57,0.04,100,2.54,38.79,7.96,32.28,0,-0.26,55.07,0.02,0.02,53.28,44.78,55.07,59.06,0.68,86.57,0.04,100,2.54,38.79,55.07,32.28,0,-0.26,-0.33,0.02,0.02,53.28,44.78,55.07,59.06,0.68,86.57,55.07,100,2.54,38.79,7.96,32.28,0,-0.26,-0.33,55.07,0.02,53.28,44.78,55.07,59.06,0.68,55.07,0.04,100,2.54,38.79,7.96,32.28,55.07,-0.26,-0.33,0.02,0.02,53.28,44.78,55.07,59.06,0.68,86.57,0.04,100,2.54,55.07,7.96,32.28,0,-0.26,-0.33,0.02,0.02,53.28
2020/10/1 00:03,55.07,-0.26,-0.33,0.02,0.02,53.28,44.78,55.07,58.95,0.92,55.07,0.04,100,2.54,38.79,7.98,32.28,0,-0.26,-0.33,55.07,0.02,53.28,44.78,55.07,58.95,0.92,86.47,0.04,100,55.07,38.79,7.98,32.28,0,-0.26,-0.33,0.02,0.02,53.28,55.07,55.07,58.95,0.92,86.47,0.04,100,2.54,38.79,7.98,32.28,0,-0.26,55.07,0.02,0.02,53.28,44.78,55.07,58.95,0.92,86.47,0.04,100,2.54,38.79,55.07,32.28,0,-0.26,-0.33,0.02,0.02,53.28,44.78,55.07,58.95,0.92,86.47,55.07,100,2.54,38.79,7.98,32.28,0,-0.26,-0.33,55.07,0.02,53.28,44.78,55.07,58.95,0.92,55.07,0.04,100,2.54,38.79,7.98,32.28,55.07,-0.26,-0.33,0.02,0.02,53.28,44.78,55.07,58.95,0.92,86.47,0.04,100,2.54,55.07,7.98,32.28,0,-0.26,-0.33,0.02,0.02,53.28
2020/10/1 00:04,54.96,-0.26,-0.33,0.02,0.02,53.28,43.2,54.96,58.95,0.92,54.96,0.04,100,2.54,38.79,7.98,32.28,0,-0.26,-0.33,54.96,0.02,53.28,43.2,54.96,58.95,0.92,86.36,0.04,100,54.96,38.79,7.98,32.28,0,-0.26,-0.33,0.02,0.02,53.28,200.0,54.96,58.95,0.92,86.36,0.04,100,2.54,38.79,7.98,32.28,0,-0.26,54.96,0.02,0.02,53.28,43.2,54.96,58.95,0.92,86.36,0.04,100,2.54,38.79,54.96,32.28,0,-0.26,-0.33,0.02,0.02,53.28,43.2,54.96,58.95,0.92,86.36,54.96,100,2.54,38.79,7.98,32.28,0,-0.26,-0.33,54.96,0.02,53.28,43.2,54.96,58.95,0.92,54.96,0.04,100,2.54,38.79,7.98,32.28,54.96,-0.26,-0.33,0.02,0.02,53.28,43.2,54.96,58.95,0.92,86.36,0.04,100,2.54,54.96,7.98,32.28,0,-0.26,-0.33,0.02,0.02,53.28
2020/10/1 00:05,54.96,-0.26,-0.33,0.02,0.02,53.07,44.78,54.96,58.85,0.68,54.96,0.04,100,2.54,38.79,7.93,32.28,0,-0.26,-0.33,54.96,0.02,53.07,44.78,54.96,58.85,0.68,86.26,0.04,100,54.96,38.79,7.93,32.28,0,-0.26,-0.33,0.02,0.02,53.07,200.0,54.96,58.85,0.68,86.26,0.04,100,2.54,38.79,7.93,32.28,0,-0.26,54.96,0.02,0.02,53.07,44.78,54.96,58.85,0.68,86.26,0.04,100,2.54,38.79,54.96,32.28,0,-0.26,-0.33,0.02,0.02,53.07,44.78,54.96,58.85,0.68,86.26,54.96,100,2.54,38.79,7.93,32.28,0,-0.26,-0.33,54.96,0.02,53.07,44.78,54.96,58.85,0.68,54.96,0.04,100,2.54,38.79,7.93,32.28,54.96,-0.26,-0.33,0.02,0.02,53.07,44.78,54.96,58.85,0.68,86.26,0.04,100,2.54,54.96,7.93,32.28,0,-0.26,-0.33,0.02,0.02,53.07
2020/10/1 00:06,54.96,-0.26,-0.33,0.02,0.02,53.07,43.2,54.96,58.85,0.92,54.96,0.04,100,2.54,38.79,7.93,32.28,0,-0.26,-0.33,54.96,0.02,53.07,43.2,54.96,58.85,0.92,86.15,0.04,100,54.96,38.79,7.93,32.28,0,-0.26,-0.33,0.02,0.02,53.07,200.0,54.96,58.85,0.92,86.15,0.04,100,2.54,38.79,7.93,32.28,0,-0.26,54.96,0.02,0.02,53.07,43.2,54.96,58.85,0.92,86.15,0.04,100,2.54,38.79,54.96,32.28,0,-0.26,-0.33,0.02,0.02,53.07,43.2,54.96,58.85,0.92,86.15,54.96,100,2.54,38.79,7.93,32.28,0,-0.26,-0.33,54.96,0.02,53.07,43.2,54.96,58.85,0.92,54.96,0.04,100,2.54,38.79,7.93,32.28,54.96,-0.26,-0.33,0.02,0.02,53.07,43.2,54.96,58.85,0.92,86.15,0.04,100,2.54,54.96,7.93,32.28,0,-0.26,-0.33,0.02,0.02,53.07
2020/10/1 00:07,54.86,-0.26,-0.33,0.02,0.02,52.86,43.2,54.86,58.85,0.92,54.86,0.04,100,2.54,38.79,7.91,32.28,0,-0.26,-0.33,54.86,0.02,52.86,43.2,54.86,58.85,0.92,86.15,0.04,100,54.86,38.79,7.91,32.28,0,-0.26,-0.33,0.02,0.02,52.86,200.0,54.86,58.85,0.92,86.15,0.04,100,2.54,38.79,7.91,32.28,0,-0.26,54.86,0.02,0.02,52.86,43.2,54.86,58.85,0.92,86.15,0.04,100,2.54,38.79,54.86,32.28,0,-0.26,-0.33,0.02,0.02,52.86,43.2,54.86,58.85,0.92,86.15,54.86,100,2.54,38.79,7.91,32.28,0,-0.26,-0.33,54.86,0.02,52.86,43.2,54.86,58.85,0.92,54.86,0.04,100,2.54,38.79,7.91,32.28,54.86,-0.26,-0.33,0.02,0.02,52.86,43.2,54.86,58.85,0.92,86.15,0.04,100,2.54,54.86,7.91,32.28,0,-0.26,-0.33,0.02,0.02,52.86
2020/10/1 00:08,54.86,-0.26,-0.33,0.02,0.02,52.86,43.2,54.86,58.85,0.92,54.86,0.04,100,2.54,38.79,7.91,32.28,0,-0.26,-0.33,54.86,0.02,52.86,43.2,54.86,58.85,0.92,86.05,0.04,100,54.86,38.79,7.91,32.28,0,-0.26,-0.33,0.02,0.02,52.86,200.0,54.86,58.85,0.92,86.05,0.04,100,2.54,38.79,7.91,32.28,0,-0.26,54.86,0.02,0.02,52.86,43.2,54.86,58.85,0.92,86.05,0.04,100,2.54,38.79,54.86,32.28,0,-0.26,-0.33,0.02,0.02,52.86,43.2,54.86,58.85,0.92,86.05,54.86,100,2.54,38.79,7.91,32.28,0,-0.26,-0.33,54.86,0.02,52.86,43.2,54.86,58.85,0.92,54.86,0.04,100,2.54,38.79,7.91,32.28,54.86,-0.26,-0.33,0.02,0.02,52.86,43.2,54.86,58.85,0.92,86.05,0.04,100,2.54,54.86,7.91,32.28,0,-0.26,-0.33,0.02,0.02,52.86
2020/10/1 00:09,54.86,-0.26,-0.33,0.02,0.02,52.86,43.2,54.86,58.74,0.92,54.86,0.04,100,2.54,38.79,7.91,32.28,0,-0.26,-0.33,54.86,0.02,52.86,43.2,54.86,58.74,0.92,85.94,0.04,100,54.86,38.79,7.91,32.28,0,-0.26,-0.33,0.02,0.02,52.86,200.0,54.86,58.74,0.92,85.94,0.04,100,2.54,38.79,7.91,32.28,0,-0.26,54.86,0.02,0.02,52.86,43.2,54.86,58.74,0.92,85.94,0.04,100,2.54,38.79,54.86,32.28,0,-0.26,-0.33,0.02,0.02,52.86,43.2,54.86,58.74,0.92,85.94,54.86,100,2.54,38.79,7.91,32.28,0,-0.26,-0.33,54.86,0.02,52.86,43.2,54.86,58.74,0.92,54.86,0.04,100,2.54,38.79,7.91,32.28,54.86,-0.26,-0.33,0.02,0.02,52.86,43.2,54.86,58.74,0.92,85.94,0.04,100,2.54,54.86,7.91,32.28,0,-0.26,-0.33,0.02,0.02,52.86
